# Solar radiation: Open-Meteo Historical-Forecast API, Stuttgart 48.830/9.196
# Source: https://open-meteo.com (historical weather forecasts, NOT ERA5 reanalysis)
# License: CC-BY-4.0
# Resolution: 15-min native (DWD-ICON / MeteoFrance-AROME archived forecasts)
datetime_utc,ghi_wm2,dni_wm2,dhi_wm2,direct_wm2,global_tilted_wm2
2023-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 00:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 00:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:30:00+00:00,2.0,0.0,2.0,0.0,0.0
2023-01-01 07:45:00+00:00,14.0,0.0,14.0,0.0,14.0
2023-01-01 08:00:00+00:00,31.0,30.3,29.0,2.0,31.0
2023-01-01 08:15:00+00:00,50.0,72.1,43.0,7.0,50.0
2023-01-01 08:30:00+00:00,70.0,110.7,56.0,14.0,70.0
2023-01-01 08:45:00+00:00,90.0,149.3,67.0,23.0,90.0
2023-01-01 09:00:00+00:00,112.0,205.9,75.0,37.0,112.0
2023-01-01 09:15:00+00:00,134.0,265.5,80.0,54.0,134.0
